date,open,high,low,close,volume,adjusted_close,currency
2022-04-19,123.9331782958256,126.76761444039786,123.9331782958256,126.45663452148438,540200,126.45663452148438,USD
2022-04-20,126.64323193610592,128.74018069935477,126.64323193610592,127.62950897216795,643400,127.62950897216795,USD
2022-04-21,127.22078535382516,129.06894487345429,126.88315034287756,127.64729309082033,781200,127.64729309082033,USD
2022-04-22,127.34516568401682,128.15372428064882,126.33222019930815,126.3855438232422,758300,126.3855438232422,USD
2022-04-25,125.76358521139784,126.8387214957282,123.28457168148714,126.35891723632812,687200,126.35891723632812,USD
2022-04-26,126.32335184358064,127.14969861891394,124.0131628972589,124.04869842529295,601300,124.04869842529295,USD
2022-04-27,124.4929690476692,125.8435496202156,123.88875659758106,124.06647491455078,618800,124.06647491455078,USD
2022-04-28,124.10200587757674,125.3992763305088,123.51556799236072,125.31041717529295,475000,125.31041717529295,USD
2022-04-29,124.89279103283012,125.12381939003512,121.54300187537754,121.66739654541016,1010800,121.66739654541016,USD
2022-05-02,123.20457339550047,123.2312284272908,118.4864429565896,119.89031982421876,831600,119.89031982421876,USD
2022-05-03,120.0502805023515,122.59149783606895,119.9880763807342,121.2764663696289,791800,121.2764663696289,USD
2022-05-04,121.11651232887333,123.69327853017516,121.11651232887333,123.55110931396484,796000,123.55110931396484,USD
2022-05-05,123.48002517766828,124.45742159534537,121.70295064225732,122.26273345947266,771300,122.26273345947266,USD
2022-05-06,122.19162725819984,125.4614373176954,121.95171844207368,125.14156341552734,806400,125.14156341552734,USD
2022-05-09,123.6488515294018,130.38396576004243,123.6310769875048,128.84678649902344,1346000,128.84678649902344,USD
2022-05-10,128.39364417895936,130.04632415500174,125.89685645105742,126.61656951904295,944700,126.61656951904295,USD
2022-05-11,126.50994553258168,129.06892374563546,125.90573311641398,128.33143615722656,1079500,128.33143615722656,USD
2022-05-12,129.19030753380224,130.0760355083734,127.72304967743548,129.46766662597656,1006200,129.46766662597656,USD
2022-05-13,129.79869806804732,129.97762930027633,127.3741368688736,129.03822326660156,1014400,129.03822326660156,USD
2022-05-16,129.32454200012347,130.02238345819043,127.73203060591116,129.08297729492188,859300,129.08297729492188,USD
2022-05-17,128.6266776129265,129.04717350008315,125.35218295397038,128.30459594726562,997500,128.30459594726562,USD
2022-05-18,127.39203758700096,127.50834903435496,114.3924859431667,114.8398208618164,1899600,114.8398208618164,USD
2022-05-19,113.6320204759602,113.8825269438538,110.55435398289174,113.05048370361328,1264800,113.05048370361328,USD
2022-05-20,113.10417582526892,113.68571267018685,109.5791807894923,112.11109161376952,1097200,112.11109161376952,USD
2022-05-23,113.06838021180516,113.20258206280234,108.210322351393,109.79389190673828,1519100,109.79389190673828,USD
2022-05-24,110.21438433532694,112.34369618536928,109.30181723831632,112.18265533447266,1258200,112.18265533447266,USD
2022-05-25,112.18265369341972,114.0077810349528,111.33272005299212,113.82884979248048,1100700,113.82884979248048,USD
2022-05-26,113.59623958207824,114.28513240953538,112.23633749622944,112.41527557373048,983600,112.41527557373048,USD
2022-05-27,112.2542304357918,112.35264466821666,111.04642746832874,112.3258056640625,1303700,112.3258056640625,USD
2022-05-31,112.01266533832892,113.15784850911558,110.86748899333172,112.16476440429688,1675600,112.16476440429688,USD
2022-06-01,112.55841622729214,112.55841622729214,108.79185682452372,111.43113708496094,1124600,111.43113708496094,USD
2022-06-02,111.09115946276238,111.74427149086372,107.19934677630444,110.08018493652344,1224200,110.08018493652344,USD
2022-06-03,110.08914400486935,110.71541026189324,109.04237493842903,109.83863067626952,548700,109.83863067626952,USD
2022-06-06,110.52751452350115,110.68855537016714,109.18550974321457,110.27700805664062,1275200,110.27700805664062,USD
2022-06-07,110.08914304138884,117.3180780701796,110.02651641623454,116.58444213867188,2184500,116.58444213867188,USD
2022-06-08,115.26032184466204,116.3339229663044,113.73043717471644,114.01673126220705,988800,114.01673126220705,USD
2022-06-09,113.90041109750116,116.36970850513892,113.6230656412121,113.84673309326172,993000,113.84673309326172,USD
2022-06-10,113.02364469031316,116.4412764457558,112.87155245278927,114.88455963134766,973600,114.88455963134766,USD
2022-06-13,114.73247137130394,117.12123833448284,113.34573031435104,113.8914794921875,1459700,113.8914794921875,USD
2022-06-14,113.92727313933403,114.75036789114324,111.04644150800186,112.15583038330078,956700,112.15583038330078,USD
2022-06-15,112.53156607830276,113.92724877865734,111.20745859996352,111.9858169555664,932700,111.9858169555664,USD
2022-06-16,110.10703289140665,112.36159821156905,108.67556230512972,110.420166015625,1057300,110.420166015625,USD
2022-06-17,110.70646060287083,111.27010705464696,107.8256221962513,109.34656524658205,1682700,109.34656524658205,USD
2022-06-21,110.47382556003016,111.61900176683946,109.09603330315376,111.28797149658205,1074900,111.28797149658205,USD
2022-06-22,111.0464259192371,111.6726920933958,109.52548305575414,110.7601318359375,604800,110.7601318359375,USD
2022-06-23,111.35062148965662,112.72841403585636,111.14485122298598,112.67473602294922,852100,112.67473602294922,USD
2022-06-24,113.90937918869592,115.56451725178324,112.32581636069531,115.30506896972656,938500,115.30506896972656,USD
2022-06-27,115.1619111421803,115.74344111918478,114.08830316183962,115.01876068115234,714800,115.01876068115234,USD
2022-06-28,115.4213528735706,115.98499924972266,113.62307138278923,113.81095123291016,820500,113.81095123291016,USD
2022-06-29,114.51774368385936,117.81012226201248,113.5962348072796,116.933349609375,1003100,116.933349609375,USD
2022-06-30,116.57549707946204,117.14808530073157,113.98990147303844,114.52669525146484,829800,114.52669525146484,USD
2022-07-01,114.99190217222412,117.6580142116651,114.3387970754797,117.3717269897461,1041700,117.3717269897461,USD
2022-07-05,117.30909053158044,117.68485017967888,115.02769364323824,117.63117218017578,1197900,117.63117218017578,USD
